annotation_id,conversation_id,tweet_id,clean_text,raw_text,timestamp,message_index,sampling_bucket,writing_style_bucket,intent_label,annotation_status,annotator_notes
dev_00010,2287318,2287317,"Hey @AmazonHelp, now we've got a Teen and a Kid account for the same person. Any way to merge or convert the kid account? And what happens in a few years when she's no longer a teen?","Hey @AmazonHelp, now we've got a Teen and a Kid account for the same person.  Any way to merge or convert the kid account?  And what happens in a few years when she's no longer a teen?",2017-11-12T02:17:07Z,0,account_access,long,account_access,reviewed,
dev_00011,2301072,2301073,@115821 Okay dear Sir Madam indeed I'm eager and keen I discuss attributes and asset's I exspectendure at my establishment I own Amazon Okay I Solicitor my G-Mail is __email__ let's talk business i.e my requirements £ sincerely Mr Brian William Herd Lord Heired,@115821 Okay dear Sir Madam indeed I'm eager and keen I discuss attributes and asset's I exspectendure at my establishment I own Amazon Okay I Solicitor my G-Mail is __email__ let's talk business i.e my requirements £ sincerely Mr Brian William Herd Lord Heired,2017-11-12T17:33:53Z,0,account_access,long,feedback_or_other,reviewed,"unclear, general feedback, praise, or outside the specific intents"
dev_00012,2422703,2422704,"Dear Amazon, how many 24 hours does it take to complete a 24 hour escalation for something that appears to be broken on my account? Apparently 5 - 24hr periods isn't enough and I don't trust the 6th that CS just told me to wait for will do anything. @AmazonHelp","Dear Amazon, how many 24 hours does it take to complete a 24 hour escalation for something that appears to be broken on my account? Apparently 5 - 24hr periods isn't enough and I don't trust the 6th that CS just told me to wait for will do anything. @AmazonHelp",2017-11-14T18:28:28Z,0,account_access,long,account_access,reviewed,multi-intent; primary outcome selected
dev_00013,2480920,2480921,@115821 is the top email a scam attempt? It doesn’t say https://t.co/tby9TBRtP5 like all the other amazon emails I’ve gotten in the past. https://t.co/WBOxwz9vFv,@115821 is the top email a scam attempt? It doesn’t say https://t.co/tby9TBRtP5 like all the other amazon emails I’ve gotten in the past. https://t.co/WBOxwz9vFv,2017-10-29T22:21:57Z,0,account_access,long,feedback_or_other,reviewed,"unclear, general feedback, praise, or outside the specific intents; high-risk language; escalation decision is separate"
dev_00014,2485632,2485638,@AmazonHelp Bye amazon.. enough explained you and your team.. No more now.. if you wanted you would have approched me.. Not like this.. it's harresment.. I told earlier too dats this account is without email address.. and your form demands it.. nd all.. Keep rs 15..you lost a custmer,"@AmazonHelp Bye amazon.. enough explained you and your team.. 
No more now.. if you wanted you would have approched me..

Not like this.. it's harresment.. I told earlier too dats this account is without email address.. and your form demands it.. nd all.. 

Keep rs 15..you lost a custmer",2017-11-16T11:08:49Z,16,account_access,long,account_access,reviewed,
dev_00015,2726811,2726808,@115830 have been told by Hasmi at eastern call centre that I will have to wait 6 hours for an email from his 'supervisor'. Asked for a name and told not given out it can be anyone in Amazon so it's not really a supervisor,@115830 have been told by Hasmi at eastern call centre that I will have to wait 6 hours for an email from his 'supervisor'.  Asked for a name and told not given out it can be anyone in Amazon so it's not really a supervisor,2017-11-20T13:36:29Z,0,account_access,long,feedback_or_other,reviewed,"unclear, general feedback, praise, or outside the specific intents"
dev_00016,2827197,2827198,"@AmazonHelp I just bought a laptop on lightning deal, and I've been locked out of my account for all deals on cyber monday, is this how you usually treat long term customer? I've replied to the email.","@AmazonHelp I just bought a laptop on lightning deal, and I've been locked out of my account for all deals on cyber monday, is this how you usually treat long term customer? I've replied to the email.",2017-11-27T11:05:38Z,0,account_access,long,account_access,reviewed,multi-intent; primary outcome selected
dev_00017,2879490,2879494,@AmazonHelp :Even amazon twitter escalation team is unable to help me. My account is blocked for two weeks and still no help. Feeling depressed as it was my only source of income. Not satisfied at all with Amazon. Help me please... 😥,@AmazonHelp :Even amazon twitter escalation team is unable to help me. My account is blocked for two weeks and still no help. Feeling depressed as it was my only source of income. Not satisfied at all with Amazon. Help me please... 😥,2017-11-28T07:39:32Z,0,account_access,long,account_access,reviewed,
dev_00018,2896060,2896042,"@AmazonHelp I have emailed after Amazon.fr customer service put the phone down on me. Although that's to be expected in France, they wouldn't know what customer service was if it slapped them in the face with a wet kipper... @115851","@AmazonHelp I have emailed after Amazon.fr customer service put the phone down on me. Although that's to be expected in France, they wouldn't know what customer service was if it slapped them in the face with a wet kipper... @115851",2017-11-28T17:02:19Z,16,account_access,long,product_or_listing,reviewed,multi-intent; primary outcome selected
dev_00019,2904361,2903510,"@AmazonHelp Répondre à l'email en scannant les documents ? Ils demandent d'envoyé un fax mais je n'ai absolument aucune idée de comment envoyé un fax, je saisis aussi pas bien pas les documents à fournir, pour une demande de sécurité pareil la procédure est très flou je trouve","@AmazonHelp Répondre à l'email en scannant les documents ? Ils demandent d'envoyé un fax mais je n'ai absolument aucune idée de comment envoyé un fax, je saisis aussi pas bien pas les documents à fournir, pour une demande de sécurité pareil la procédure est très flou je trouve",2017-11-28T19:19:57Z,11,account_access,long,feedback_or_other,reviewed,"unclear, general feedback, praise, or outside the specific intents; non-English or multilingual text"
dev_00020,13574,13573,@AmazonHelp here is the email. Conflicting answers from others in similar situations online. https://t.co/9zbCqLzokH,@AmazonHelp here is the email. Conflicting answers from others in similar situations online. https://t.co/9zbCqLzokH,2017-11-01T01:48:22Z,2,account_access,medium,feedback_or_other,reviewed,"unclear, general feedback, praise, or outside the specific intents"
dev_00021,311056,311048,@115850 i don't know why you put restrictions on adding of money in Amazon pay. Help me to out this my id is __email__,@115850 i don't know why you put restrictions on adding of money in Amazon pay. Help me to out this my id is __email__,2017-10-07T01:57:28Z,0,account_access,medium,feedback_or_other,reviewed,"unclear, general feedback, praise, or outside the specific intents"
dev_00022,382873,382868,@AmazonHelp Hi I hv tried to reset my password to access on that form but it's not working,@AmazonHelp Hi I hv tried to reset my password to access on that form but it's not working,2017-10-21T14:14:06Z,7,account_access,medium,account_access,reviewed,
dev_00023,394428,394453,@AmazonHelp I am unable to login at any amazon website. My amazon pay stuck,@AmazonHelp I am unable to login at any amazon website. My amazon pay stuck,2017-10-12T17:37:01Z,31,account_access,medium,account_access,reviewed,
dev_00024,402563,402562,@AmazonHelp Original account was closed when trying to use amazon pay on @116076 website.Flagged as suspicious.Since then 8 calls to customer support,@AmazonHelp Original account was closed when trying to use amazon pay on @116076 website.Flagged as suspicious.Since then 8 calls to customer support,2017-10-09T20:30:22Z,2,account_access,medium,account_access,reviewed,multi-intent; primary outcome selected
dev_00025,432963,432965,".@115830 Clear instructions to leave items with concierge but “you were out” email. Been home all day, no call on entry system.",".@115830 Clear instructions to leave items with concierge but “you were out” email. Been home all day, no call on entry system.",2017-10-10T15:39:26Z,0,account_access,medium,feedback_or_other,reviewed,"unclear, general feedback, praise, or outside the specific intents"
dev_00026,783808,783804,@AmazonHelp why has Amazon locked my account. How do I reach out to Amazon for resolving this?,@AmazonHelp why has Amazon locked my account. How do I reach out to Amazon for resolving this?,2017-10-12T07:05:30Z,0,account_access,medium,account_access,reviewed,
dev_00027,942727,942727,@AmazonHelp I will do it when I get home and sign in and send it,@AmazonHelp I will do it when I get home and sign in and send it,2017-10-21T17:14:09Z,6,account_access,medium,account_access,reviewed,
dev_00028,1120465,1120470,@AmazonHelp I sent two emails on Sunday morning (10.30) a reply email stated 12 hours and the following morning I then phoned and was told half an hour,@AmazonHelp I sent two emails on Sunday morning (10.30) a reply email stated 12 hours and the following morning I then phoned and was told half an hour,2017-10-24T06:28:04Z,7,account_access,medium,product_or_listing,reviewed,
dev_00029,1172492,1172493,@AmazonHelp my email was changed on my account without my permission and I am unable to log into my account to change the email back. HELP!,@AmazonHelp my email was changed on my account without my permission and I am unable to log into my account to change the email back. HELP!,2017-10-15T20:38:00Z,0,account_access,medium,account_access,reviewed,
dev_00030,1384134,1384139,@AmazonHelp My account has been locked for security purposes. i haven't got an email to unlock it yet. I'm waiting more than 2 months,@AmazonHelp My account has been locked for security purposes. i haven't got an email to unlock it yet. I'm waiting more than 2 months,2017-11-25T15:22:15Z,0,account_access,medium,account_access,reviewed,
dev_00031,1448059,1448062,@AmazonHelp Recently I talked to a cc in call one he said me that account goes to hold and told me to wait 1 day for unhold what I do now please say,@AmazonHelp Recently I talked to a cc in call one he said me that account goes to hold and told me to wait 1 day for unhold what I do now please say,2017-11-02T16:53:21Z,7,account_access,medium,account_access,reviewed,
dev_00032,1890595,1890588,@AmazonHelp And my mail is __email__ if that helps resolving the problem,@AmazonHelp And my mail is __email__ if that helps resolving the problem,2017-11-26T08:38:04Z,4,account_access,medium,feedback_or_other,reviewed,"unclear, general feedback, praise, or outside the specific intents"
dev_00033,1955729,1955725,"@AmazonHelp Bought a Far SF USB backpack and thats not what arrived, no reply from their emails so I forwarded them to you. No reply for 3 weeks","@AmazonHelp Bought a Far SF USB backpack and thats not what arrived, no reply from their emails so I forwarded them to you. No reply for 3 weeks",2017-10-18T17:50:17Z,2,account_access,medium,delivery_tracking,reviewed,
dev_00034,2296835,2296835,"@AmazonHelp I've been on chat with two different reps that could not help. Will delete Amazon app now, close Amazon Visa account in the AM.","@AmazonHelp I've been on chat with two different reps that could not help. Will delete Amazon app now, close Amazon Visa account in the AM.",2017-11-12T16:24:57Z,8,account_access,medium,account_access,reviewed,
dev_00035,2338664,2338665,Woke up to an email from amazon saying my @45501 LP will be delayed by 3-4 days ☔️,Woke up to an email from amazon saying my @45501 LP will be delayed by 3-4 days ☔️,2017-10-20T06:35:16Z,0,account_access,medium,feedback_or_other,reviewed,"unclear, general feedback, praise, or outside the specific intents"
dev_00036,2431176,2431176,@AmazonHelp Thanks i have emailed hope i here b4 presale tomoz,@AmazonHelp Thanks i have emailed hope i here b4 presale tomoz,2017-11-14T21:03:30Z,2,account_access,medium,feedback_or_other,reviewed,"unclear, general feedback, praise, or outside the specific intents"
dev_00037,2534496,2534500,Ummm so apparently amazon created fake comments from my account on things I never bought.....??? https://t.co/msisrlIHCB,Ummm so apparently amazon created fake comments from my account on things I never bought.....??? https://t.co/msisrlIHCB,2017-11-16T07:10:24Z,0,account_access,medium,account_access,reviewed,
dev_00038,2814438,2814417,My account was blocked and I am asked to send a summary of the card. I need help @AmazonHelp In Spanish please,My account was blocked and I am asked to send a summary of the card. I need help @AmazonHelp In Spanish please,2017-11-27T02:21:12Z,0,account_access,medium,account_access,reviewed,
dev_00039,2934427,2934423,@AmazonHelp if u understand then you credited my 75 rs cashback in my account. I am talking @ my issue from last 2 days. But not received.,@AmazonHelp if u understand then you credited my 75 rs cashback in my account. I am talking @ my issue from last 2 days. But not received.,2017-11-30T05:40:42Z,10,account_access,medium,payment_billing,reviewed,multi-intent; primary outcome selected; high-risk language; escalation decision is separate
dev_00040,239640,239645,@AmazonHelp Email from link?,@AmazonHelp Email from link?,2017-10-03T06:50:43Z,4,account_access,short,feedback_or_other,reviewed,"unclear, general feedback, praise, or outside the specific intents"
dev_00041,285056,285051,@AmazonHelp No emails from your side !!,@AmazonHelp No emails from your side !!,2017-10-07T05:38:02Z,9,account_access,short,feedback_or_other,reviewed,"unclear, general feedback, praise, or outside the specific intents"
dev_00042,319521,319520,@AmazonHelp __email__,@AmazonHelp __email__,2017-10-07T12:35:05Z,19,account_access,short,feedback_or_other,reviewed,"unclear, general feedback, praise, or outside the specific intents"
dev_00043,359787,359787,"@AmazonHelp Just emailed! Thanks, boo!","@AmazonHelp Just emailed! Thanks, boo!",2017-10-08T16:38:46Z,2,account_access,short,feedback_or_other,reviewed,"unclear, general feedback, praise, or outside the specific intents"
dev_00044,439636,439634,@AmazonHelp Thank you. Email sent!,@AmazonHelp Thank you. Email sent!,2017-10-11T10:36:26Z,2,account_access,short,feedback_or_other,reviewed,"unclear, general feedback, praise, or outside the specific intents"
dev_00045,756344,756344,@AmazonHelp Thanks I’ve emailed back,@AmazonHelp Thanks I’ve emailed back,2017-10-11T18:56:17Z,4,account_access,short,feedback_or_other,reviewed,"unclear, general feedback, praise, or outside the specific intents"
dev_00046,803989,804000,@AmazonHelp Or email me __email__,@AmazonHelp Or email me __email__,2017-10-13T03:31:06Z,25,account_access,short,feedback_or_other,reviewed,"unclear, general feedback, praise, or outside the specific intents"
dev_00047,839340,839338,@AmazonHelp should I call or email?,@AmazonHelp should I call or email?,2017-10-13T11:29:53Z,2,account_access,short,feedback_or_other,reviewed,"unclear, general feedback, praise, or outside the specific intents"
dev_00048,1178873,1178886,@AmazonHelp That’s not an account number,@AmazonHelp That’s not an account number,2017-10-24T21:50:58Z,9,account_access,short,account_access,reviewed,
dev_00049,1216291,1216291,@AmazonHelp Delete my account,@AmazonHelp Delete my account,2017-10-25T17:22:24Z,3,account_access,short,account_access,reviewed,
dev_00050,1260861,1260839,@AmazonHelp No such email received !,@AmazonHelp No such email received !,2017-10-26T11:06:34Z,4,account_access,short,feedback_or_other,reviewed,"unclear, general feedback, praise, or outside the specific intents"
dev_00051,1349260,1349259,@AmazonHelp Email sent. Thanks.,@AmazonHelp Email sent. Thanks.,2017-10-16T14:38:07Z,7,account_access,short,feedback_or_other,reviewed,"unclear, general feedback, praise, or outside the specific intents"
dev_00052,2089295,2089293,"@AmazonHelp Thanks, email sent.","@AmazonHelp Thanks, email sent.",2017-11-08T11:24:53Z,6,account_access,short,feedback_or_other,reviewed,"unclear, general feedback, praise, or outside the specific intents"
dev_00053,2260736,2260735,@AmazonHelp __email__ is the email,@AmazonHelp __email__ is the email,2017-11-26T15:26:48Z,3,account_access,short,feedback_or_other,reviewed,"unclear, general feedback, praise, or outside the specific intents"
dev_00054,2383244,2383240,@AmazonHelp the bank account? mine.,@AmazonHelp the bank account? mine.,2017-11-14T07:11:25Z,2,account_access,short,payment_billing,reviewed,multi-intent; primary outcome selected
dev_00055,2565613,2565613,@AmazonHelp Thank you. Email sent.,@AmazonHelp Thank you. Email sent.,2017-11-16T20:31:42Z,2,account_access,short,feedback_or_other,reviewed,"unclear, general feedback, praise, or outside the specific intents"
dev_00056,2734244,2734241,@AmazonHelp I emailed last week!!!,@AmazonHelp I emailed last week!!!,2017-11-20T19:56:19Z,2,account_access,short,feedback_or_other,reviewed,"unclear, general feedback, praise, or outside the specific intents"
dev_00057,2826523,2821543,"@AmazonHelp Email sent via link, cheers","@AmazonHelp Email sent via link, cheers",2017-11-27T09:26:32Z,2,account_access,short,feedback_or_other,reviewed,"unclear, general feedback, praise, or outside the specific intents"
dev_00058,2884220,2884218,@AmazonHelp @AmazonHelp email sent!,@AmazonHelp @AmazonHelp email sent!,2017-11-28T11:48:12Z,2,account_access,short,feedback_or_other,reviewed,"unclear, general feedback, praise, or outside the specific intents"
dev_00059,2933586,2933586,"@AmazonHelp Thank you, I sent an email.","@AmazonHelp Thank you, I sent an email.",2017-11-29T09:44:29Z,5,account_access,short,feedback_or_other,reviewed,"unclear, general feedback, praise, or outside the specific intents"
dev_00060,77549,77550,@AmazonHelp All I got was a message saying sorry it wasn't delivered and there is no new delivery date from ParcelPool and to wait because it's usually delivered in a few days..,@AmazonHelp All I got was a message saying sorry it wasn't delivered and there is no new delivery date from ParcelPool and to wait because it's usually delivered in a few days..,2017-11-30T12:05:22Z,2,delivery_tracking,long,delivery_tracking,reviewed,
dev_00061,83459,83458,@115821 so I used to think $99 for prime was a good deal. Until 60% of my recent orders were delivered between 2 and 4 days after the were promised. That is not good,@115821 so I used to think $99 for prime was a good deal. Until 60% of my recent orders were delivered between 2 and 4 days after the were promised. That is not good,2017-11-30T13:44:24Z,0,delivery_tracking,long,delivery_tracking,reviewed,multi-intent; primary outcome selected
dev_00062,172283,172281,"@AmazonHelp #AMZL_US attempted to deliver my package while I was at work. They couldnt figure out how to get in, and called me repeatedly at work, then just gave up. I don't know why you let random people deliver packages when USPS, FedEx, UPS all have access to the building. Frustrating.","@AmazonHelp #AMZL_US attempted to deliver my package while I was at work. They couldnt figure out how to get in, and called me repeatedly at work, then just gave up. I don't know why you let random people deliver packages when USPS, FedEx, UPS all have access to the building. Frustrating.",2017-11-24T22:44:27Z,2,delivery_tracking,long,delivery_tracking,reviewed,multi-intent; primary outcome selected
dev_00063,384517,384516,"Hello @115850 @AmazonHelp Order# 405-2192790-6798713 is not been received in my hand, but status showing delivered to the customer. Please check &amp; do the needful at the earliest. https://t.co/Vg1ibsZF19","Hello @115850 @AmazonHelp Order# 405-2192790-6798713 is not been received in my hand, but status showing delivered to the customer.

Please check &amp; do the needful at the earliest. https://t.co/Vg1ibsZF19",2017-10-09T11:06:45Z,0,delivery_tracking,long,delivery_tracking,reviewed,multi-intent; primary outcome selected
dev_00064,448639,448637,@AmazonHelp Yes..... It was an Amazon Shipping delivery (that's the carrier listed) live-chat don't understand the severity of the driver stealing parcels on the run-upto Xmas! He didn't even step foot on the driveway,@AmazonHelp Yes..... It was an Amazon Shipping delivery (that's the carrier listed) live-chat don't understand the severity of the driver stealing parcels on the run-upto Xmas! He didn't even step foot on the driveway,2017-11-30T20:52:28Z,3,delivery_tracking,long,delivery_tracking,reviewed,
dev_00065,465079,465081,"Sorry if I'm distracted - after years of being @115821's biggest cheerleader, BAM they totally effed up delivery on an order and I'm increasingly frazzled trying to fix it #ThursdayFrights","Sorry if I'm distracted - after years of being @115821's biggest cheerleader, BAM they totally effed up delivery on an order and I'm increasingly frazzled trying to fix it #ThursdayFrights",2017-12-01T03:45:11Z,0,delivery_tracking,long,delivery_tracking,reviewed,multi-intent; primary outcome selected
dev_00066,485305,485305,"@AmazonHelp I took a look at my app, and I placed the order on the 21st, because it was a pre-order. But it still says now that it's giving an estimate time for when it's going to be delivered. I understand and I will wait, but I was hoping that the estimated time what have shown by now.","@AmazonHelp I took a look at my app, and I placed the order on the 21st, because it was a pre-order. But it still says now that it's giving an estimate time for when it's going to be delivered. 

I understand and I will wait, but I was hoping that the estimated time what have shown by now.",2017-12-01T18:23:09Z,2,delivery_tracking,long,delivery_tracking,reviewed,multi-intent; primary outcome selected
dev_00067,497292,497285,@AmazonHelp Delivery date pending. It was meant to arrive over a week ago. Then the company lost it. Then after three calls I was told it was out of stock and was meant to have an update yesterday... still haven’t heard anything.,@AmazonHelp Delivery date pending. It was meant to arrive over a week ago. Then the company lost it. Then after three calls I was told it was out of stock and was meant to have an update yesterday... still haven’t heard anything.,2017-12-01T18:42:17Z,2,delivery_tracking,long,delivery_tracking,reviewed,multi-intent; primary outcome selected
dev_00068,505751,505752,"@117795 @117795 What matters is that #amazon / #amazonprime use “delivery” who will toss your packet in the wet bushes next to your house, or not deliver at all claiming the huge corner building with a 24-hour doorman and friendly incoming procedures is “not accessible.” 3/3","@117795 @117795 What matters is that #amazon / #amazonprime use “delivery” who will toss your packet in the wet bushes next to your house, or not deliver at all claiming the huge corner building with a 24-hour doorman and friendly incoming procedures is “not accessible.” 3/3",2017-12-01T21:12:08Z,2,delivery_tracking,long,delivery_tracking,reviewed,multi-intent; primary outcome selected
dev_00069,639446,639447,Fair warning: Do not use @115830 restaurant delivery. Second time they claimed a restaurant cancelled an order the restaurant said went out. They clearly don't care if you get any food.,Fair warning: Do not use @115830 restaurant delivery. Second time they claimed a restaurant cancelled an order the restaurant said went out. They clearly don't care if you get any food.,2017-11-22T20:21:33Z,0,delivery_tracking,long,order_issue,reviewed,multi-intent; primary outcome selected
dev_00070,1505501,1505503,@115821 #wrong delivery of product #have to pay for shipping the product back to the seller #amazon agreed to pay the shipping charges first but gave reasons later # cannot get through them # waiting from 4 months for the payment #provided the details#no reply,@115821 #wrong delivery of product #have to pay for shipping the product back to the seller #amazon agreed to pay the shipping charges first but gave reasons later # cannot get through them # waiting from 4 months for the payment #provided the details#no reply,2017-11-09T14:03:33Z,0,delivery_tracking,long,payment_billing,reviewed,multi-intent; primary outcome selected
dev_00071,2318348,2318346,"@672061 @115850 Seems Amazon again has delivery issue on Echo Dot. Extremely poor service. Google home is a better bet. Made approx 10 plus calls, multiple tweets and twice order cancelled by Amazon.","@672061 @115850 Seems Amazon again has delivery issue on Echo Dot. Extremely poor service. Google home is a better bet. Made approx 10 plus calls, multiple tweets and twice order cancelled by Amazon.",2017-11-13T09:47:57Z,1,delivery_tracking,long,product_or_listing,reviewed,multi-intent; primary outcome selected; high-risk language; escalation decision is separate
dev_00072,2318844,2318846,@115830 my parcel thrown over the fence AGAIN luckily I found it albeit a day later #delivery #notacceptable #poorservice #nothappy #customer why do I pay my #prime #membership,@115830 my parcel thrown over the fence AGAIN luckily I found it albeit a day later #delivery #notacceptable #poorservice #nothappy #customer why do I pay my #prime #membership,2017-11-13T11:16:37Z,0,delivery_tracking,long,delivery_tracking,reviewed,multi-intent; primary outcome selected
dev_00073,2319733,2319736,"@AmazonHelp No reason...just delayed...again and again. If I was told the truth on Friday or Saturday, I could have salvaged my client relationship. Too late today... So, I will share my story with everyone I meet...My new biz will be personally meeting every small biz in the area.","@AmazonHelp No reason...just delayed...again and again. If I was told the truth on Friday or Saturday, I could have salvaged my client relationship. Too late today... So, I will share my story with everyone I meet...My new biz will be personally meeting every small biz in the area.",2017-11-13T13:24:19Z,7,delivery_tracking,long,delivery_tracking,reviewed,
dev_00074,2471627,2471631,@116324 Hi I have just had a delivery attempted message from Amazon for a parcel you have. I think the driver has gone to the wrong house again as no one has been here and there is no calling card. Can you help?,@116324 Hi I have just had a delivery attempted message from Amazon for a parcel you have. I think the driver has gone to the wrong house again as no one has been here and there is no calling card. Can you help?,2017-11-15T11:29:05Z,0,delivery_tracking,long,delivery_tracking,reviewed,
dev_00075,2478874,2478873,"@115821 Delivery Services, this is not how you deliver a package. Good thing I saw it before the water from the wet grass you put it in leaked through to the items inside. https://t.co/qyqJ3aJMvw","@115821 Delivery Services, this is not how you deliver a package. Good thing I saw it before the water from the wet grass you put it in leaked through to the items inside. https://t.co/qyqJ3aJMvw",2017-11-15T14:53:58Z,0,delivery_tracking,long,delivery_tracking,reviewed,
dev_00076,2528270,2528270,@AmazonHelp No just nothing I want to order has a one day ship option. Just free slow 2 day shipping (prime) order wed get Monday isn’t exactly fast for a prime item in the warehouse,@AmazonHelp No just nothing I want to order has a one day ship option. Just free slow 2 day shipping (prime) order wed get Monday isn’t exactly fast for a prime item in the warehouse,2017-11-16T06:03:52Z,2,delivery_tracking,long,delivery_tracking,reviewed,multi-intent; primary outcome selected
dev_00077,2718501,2718502,"@AmazonHelp any reason my package was delivered open and my items on the floor. Don’t ask me to complete your stupid form, you never reply https://t.co/uP1wqtWstP","@AmazonHelp any reason my package was delivered open and my items on the floor. Don’t ask me to complete your stupid form, you never reply https://t.co/uP1wqtWstP",2017-11-20T08:05:08Z,0,delivery_tracking,long,delivery_tracking,reviewed,
dev_00078,2728894,2728892,"@AmazonHelp Order was placed directly from Amazon and is being shipped by AMZL. The estimated delivery time was from Nov. 13th to the 23rd, I’m just saying that’s a long time.","@AmazonHelp Order was placed directly from Amazon and is being shipped by AMZL. The estimated delivery time was from Nov. 13th to the 23rd, I’m just saying that’s a long time.",2017-11-20T15:02:40Z,2,delivery_tracking,long,delivery_tracking,reviewed,multi-intent; primary outcome selected
dev_00079,2787685,2787686,"Hi @115850 Amazon Team, I was told my ticket was escalated to highest on september, but all i get is repeated cyclic queires, and yet to see any progressive update. Can you please have it resolved ASAP? Thanks https://t.co/JrZRFzvI2G","Hi @115850  Amazon Team, I was told my ticket was escalated to highest on september, but all i get is repeated cyclic queires, and yet to see any progressive update. Can you please have it resolved ASAP? Thanks https://t.co/JrZRFzvI2G",2017-11-21T18:37:25Z,0,delivery_tracking,long,delivery_tracking,reviewed,
